Address,Pool token fullBalanceOf
0x5e38b802525de11a54506801b296d2aa93d033ef,1032817630173232255213
0xf84bfa23c2ab766c47056011b26e2d12ade5c754,1013933993092613347720
0x38ad0aba07c1eaafb8a87517aa13fb8871513fa8,1010320608563368400074
0xede29c55963ad7e0dd5283909e2df7016fac14aa,1008703818498095186318
0xfcf868133bfb21b0fa12f74ab0bff4de86b93fbc,10103206085633684000932
0xb17bbfbd1cc5faee7976d7f0ee8249ebddf78726,1016352269402626331457
0x21c59adeeeb25eff1cca36ab5bf082b96e0ef293,101735030465641036873
0x3c3b04835a0fc640f78e63dede6b3d4ac55d688c,1014368767618299342
0x7b8ea0a8778ca882c6314040f7b7dd6dd9cc77ec,1014371842059091904
0x52cc6357cebe1b5114aea23e62cd773d6004b71d,1014504488552631758
0xa83f9254afdcf1673dc2b31a6690afd0af1d2bae,1027511603091451056
0x8c0c8d676fdfd1717b16b61bd0037001ff100e78,105583103281179439
0xacd7441f9b73189f4ef61a0c9725bf0816fae124,1044035471735568718557
0x3c229864378b3b0adf98ae247ca33986aed8ec1e,1053559405102454879267
0xde6b2a06407575b98724818445178c1f5fd53361,1063852315878690668
0x4ff9288793ce6c98d7dab429f8ad97691d8a0f5d,1069041094759471852
0x96cd6af97885b2bc556293d98d6f0a56eec7e43e,108946506763677244552
0x682540d50a8d56816c7214307ce972e43c592b05,1087771444336303645464
0xe1163dcfb598f74da146a83cc878731d553abbfe,1091976381415409327
0x3d5ff23f56dc1240e571dd011bf2e373d06aaf7f,1100040079604988574
0x5c538d3e8ea308a52563694ce265b46c86f869dd,1127692563157032854
0x78c437fd49cb9f9dcfa113cd4f561a8b7008a9f8,11345808887555678974
0x0c39a628d6325a838ac629750b9edcce2f4a57b5,11348942000010827441
0x9e7835be9066365485302dacab277a02f5302af3,1218760442622165412883
0xb4ffd9b783a71b7cb1790d02e8f744cc32dc9c1f,1212046666075087108277
0x26938dfd4f89f9450a5402688a4cb1ba88e09d29,1227556375806735937
0x620eb3c8d13b5bb235f2af01b20634b4c99955f0,1255757506138492476
0xd56705548111f08ccb3e1a73806c53dc706f2e75,1256387277838051452
0x464a0247aba6d76e32e081988a8ed4b06d2b47f2,12588933590890862753
0x57e3cf0221e6a15c55ade85f3c314abe0d41fee6,13014907060947091608310
0xd3639dc9b9486b9701d48259816d33b086ae6515,1287432643620706127706
0xace95175b107f0d6a7a2949f7af83d7a3528fb4e,13071229989499938497
0x6bac48867bc94ff20b4c62b21d484a44d04d342c,135200275205197646855
0x71e1d6e6f8da5295d6ff161bb22e9183120c9a15,1341783200318847285
